Crop,Soil_Type,N_Level,P_Level,K_Level,pH,Fertilizer_Name,N_Amount,P_Amount,K_Amount,Tips
FingerMillet,Sandy,Medium,Medium,Low,6.0,MOP,0,0,30,"Apply potash at grain filling."
Sorghum,Clayey,Low,Medium,High,7.2,Urea,60,0,0,"Split: 30% sowing, 70% at knee-high. Avoid waterlogging."
Sorghum,Loamy,Medium,High,Medium,7.0,NPK,50,40,40,"Apply basal. Side-dress nitrogen at flowering."
Sorghum,Sandy,High,Low,Medium,6.5,MOP,0,0,40,"Apply potash at panicle initiation."
Sorghum,Clayey,Medium,Low,High,7.3,DAP,0,55,0,"Band placement. Use zinc."
Sorghum,Loamy,Low,High,Medium,6.8,Complex,40,40,35,"Split nitrogen. Use organic manure."
Sorghum,Sandy,Medium,Medium,Low,6.2,Urea,50,0,0,"Apply at sowing and booting stage."
Quinoa,Sandy,Low,Medium,High,7.5,Urea,30,0,0,"Light application. Use organic matter."
Quinoa,Loamy,Medium,High,Medium,7.2,SSP,0,40,0,"Apply superphosphate at sowing. Use boron."
Quinoa,Clayey,High,Medium,Low,7.0,Complex,25,30,25,"Balanced application. Avoid overwatering."
Quinoa,Sandy,Medium,Low,High,7.3,NPK,28,28,28,"Apply basal. Top dress at flowering."
Quinoa,Loamy,Low,High,Medium,7.1,Urea,25,0,0,"Apply at sowing. Use organic manure."
Quinoa,Clayey,Medium,Medium,Medium,6.8,DAP,0,35,0,"Band placement. Use zinc."
Buckwheat,Sandy,Low,Medium,High,6.0,Urea,35,0,0,"Apply at sowing. Use slow-release."
Buckwheat,Loamy,Medium,High,Medium,6.3,DAP,0,35,0,"Band placement. Use zinc."
Buckwheat,Clayey,High,Medium,Low,6.5,MOP,0,0,30,"Apply potash at flowering."
Buckwheat,Sandy,Medium,Low,High,5.8,NPK,30,25,25,"Apply basal. Use organic matter."
Buckwheat,Loamy,Low,High,Medium,6.2,Complex,25,25,25,"Split application. Avoid waterlogging."
Lentil,Loamy,Low,High,Medium,7.0,Rhizobium,0,40,0,"Inoculate seeds. Apply phosphorus at sowing."
Lentil,Clayey,Medium,Medium,Medium,7.2,SSP,0,45,0,"Use superphosphate. Apply gypsum if needed."
Lentil,Sandy,Low,High,Medium,6.8,Urea,15,0,0,"Starter dose only. Legume fixes nitrogen."
Lentil,Loamy,Medium,Low,High,7.1,DAP,0,40,0,"Band placement. Use zinc."
Lentil,Clayey,Low,Medium,High,7.3,NPK,15,35,20,"Apply basal. Use organic manure."
Lentil,Sandy,High,Medium,Low,6.5,Complex,10,30,20,"Light application. Avoid overfertilization."
Mungbean,Sandy,Low,High,Medium,6.5,Rhizobium,0,35,0,"Inoculate before sowing. Use phosphorus."
Mungbean,Loamy,Medium,Medium,Medium,6.8,DAP,0,40,0,"Apply basal. Use micronutrient mixture."
Mungbean,Clayey,High,Low,High,6.2,MOP,0,0,30,"Apply potash at flowering."
Mungbean,Sandy,Medium,Low,High,6.3,NPK,15,30,20,"Apply at sowing. Use organic matter."
Mungbean,Loamy,Low,High,Medium,6.6,SSP,0,35,0,"Use superphosphate. Inoculate seeds."
Mungbean,Clayey,Medium,High,Low,6.0,Urea,12,0,0,"Starter dose only."
Urdbean,Loamy,Low,High,Medium,7.0,Rhizobium,0,35,0,"Inoculate seeds. Use starter nitrogen 10kg."
Urdbean,Clayey,Medium,Medium,Medium,7.2,SSP,0,40,0,"Apply at sowing. Use boron for pod set."
Urdbean,Sandy,High,Low,High,6.5,MOP,0,0,30,"Apply potash at pod filling."
Urdbean,Loamy,Medium,Low,Medium,6.8,DAP,0,35,0,"Band placement. Use zinc."
Urdbean,Clayey,Low,High,Medium,7.1,NPK,12,30,20,"Balanced light application."
Cowpea,Sandy,Low,High,Medium,6.5,Rhizobium,0,30,0,"Drought tolerant. Inoculate seeds."
Cowpea,Loamy,Medium,Medium,Medium,6.8,Urea,15,0,0,"Light starter dose. Use phosphorus."
Cowpea,Clayey,High,Low,High,6.2,MOP,0,0,25,"Apply potash at flowering."
Cowpea,Sandy,Medium,Low,Medium,6.3,SSP,0,30,0,"Apply superphosphate. Use organic manure."
Cowpea,Loamy,Low,High,Medium,6.6,Complex,10,25,20,"Apply basal. Avoid excess nitrogen."
Horsegram,Clayey,Low,High,Medium,7.0,Rhizobium,0,25,0,"Low input crop. Apply phosphorus only."
Horsegram,Sandy,Medium,Medium,Low,6.5,DAP,0,30,0,"Apply at sowing. No nitrogen needed."
Horsegram,Loamy,High,Low,High,6.8,MOP,0,0,20,"Apply potash at pod formation."
Horsegram,Clayey,Medium,Low,Medium,7.2,SSP,0,25,0,"Use superphosphate. No irrigation needed."
Sesame,Loamy,Low,High,Medium,6.8,Urea,30,0,0,"Apply at sowing. Split at flowering."
Sesame,Sandy,Medium,Medium,Medium,6.5,SSP,0,35,0,"Use superphosphate. Avoid high nitrogen."
Sesame,Clayey,High,Low,High,6.0,MOP,0,0,30,"Apply potash at capsule formation."
Sesame,Loamy,Medium,Low,High,6.3,NPK,25,25,25,"Balanced application. Use boron."
Sesame,Sandy,Low,High,Medium,6.2,Complex,20,25,20,"Apply basal. Top dress at flowering."
Sesame,Clayey,Medium,Medium,Low,5.8,Urea,25,0,0,"Split application. Avoid waterlogging."
Niger,Loamy,Low,Medium,High,6.5,Urea,25,0,0,"Apply at sowing. Use organic manure."
Niger,Clayey,Medium,High,Medium,6.8,DAP,0,30,0,"Apply basal. Low fertilizer requirement."
Niger,Sandy,High,Low,Medium,6.2,MOP,0,0,25,"Apply potash at flowering."
Niger,Loamy,Medium,Low,High,6.3,NPK,20,20,20,"Balanced light application."
Linseed,Loamy,Low,High,Medium,6.8,NPK,30,30,30,"Apply at sowing. Top dress at flowering."
Linseed,Sandy,Medium,Medium,Medium,6.5,Urea,35,0,0,"Split application. Use boron for yield."
Linseed,Clayey,High,Low,High,6.0,MOP,0,0,35,"Apply potash at capsule formation."
Linseed,Loamy,Medium,Low,Medium,6.3,DAP,0,35,0,"Band placement. Use zinc."
Linseed,Sandy,Low,High,Medium,6.2,SSP,0,30,0,"Apply superphosphate. Use organic manure."
Safflower,Clayey,Low,Medium,High,7.2,Urea,40,0,0,"Apply at sowing and branching. Use zinc."
Safflower,Loamy,Medium,High,Medium,7.0,DAP,0,45,0,"Apply basal. Use gypsum for calcium."
Safflower,Sandy,High,Low,Medium,6.8,MOP,0,0,35,"Apply potash at flowering."
Safflower,Clayey,Medium,Low,High,7.1,NPK,35,35,30,"Balanced application. Use boron."
Safflower,Loamy,Low,High,Medium,6.5,Complex,30,30,30,"Apply basal. Top dress at branching."
Castor,Sandy,Low,Medium,High,6.8,Urea,50,0,0,"Split at sowing and flowering. Deep soil."
Castor,Loamy,Medium,High,Medium,7.0,SSP,0,40,0,"Apply superphosphate. Use zinc."
Castor,Clayey,High,Low,Medium,6.5,MOP,0,0,45,"Apply potash at spike formation."
Castor,Sandy,Medium,Low,High,6.3,NPK,40,30,35,"Split application. Use organic manure."
Castor,Loamy,Low,High,Medium,6.6,DAP,0,45,0,"Band placement. Use boron."
Groundnut,Red,Low,Medium,High,6.2,Rhizobium,0,35,0,"Inoculate seeds. Use gypsum at pegging."
Groundnut,Red,Medium,High,Low,6.5,SSP,0,55,0,"Apply superphosphate. Use boron."
Groundnut,Red,High,Low,Medium,6.0,MOP,0,0,40,"Apply potash at pegging stage."
Groundnut,Red,Low,High,Medium,6.3,NPK,15,40,25,"Apply basal. Use organic manure."
Groundnut,Red,Medium,Low,High,5.8,Complex,12,35,20,"Balanced light application."
Soybean,Red,Low,High,Medium,6.5,Urea,25,0,0,"Light starter dose only."
Soybean,Red,Medium,Medium,Medium,6.8,DAP,0,50,0,"Apply at sowing. Inoculate seeds."
Soybean,Red,High,Low,High,6.2,MOP,0,0,40,"Apply potash at flowering."
Soybean,Red,Low,Medium,High,6.3,NPK,15,40,25,"Apply basal. Use boron."
Potato,Red,High,Medium,High,6.0,NPK,80,40,80,"High potash requirement. Split nitrogen."
Potato,Red,Medium,High,Low,6.2,MOP,0,0,100,"Potash at planting and earthing up."
Potato,Red,Low,Medium,High,5.8,Urea,70,0,0,"Split at planting and earthing."
Potato,Red,High,Medium,High,6.0,Complex,60,40,60,"Apply as basal. Use controlled-release."
Tomato,Red,Medium,High,Medium,6.5,Complex,50,50,50,"Apply at transplanting and first flowering."
Tomato,Red,High,Medium,High,6.2,NPK,70,40,60,"Apply basal. Top dress at fruit set."
Tomato,Red,Low,High,Medium,6.8,Urea,40,0,0,"Apply in splits. Avoid late nitrogen."
Tomato,Red,Medium,Low,High,6.3,DAP,0,60,0,"Apply at transplanting. Use drip irrigation."
Onion,Red,High,Medium,High,6.8,Urea,60,0,0,"Split at 15 and 45 days after transplanting."
Onion,Red,Medium,High,Medium,7.0,DAP,0,55,0,"Apply at transplanting. Use zinc."
Onion,Red,Low,Medium,High,6.5,NPK,40,30,40,"Apply basal. Top dress at bulb initiation."
Chickpea,Red,Low,High,Medium,7.0,Rhizobium,0,40,0,"Inoculate seeds. Apply phosphorus."
Chickpea,Red,Medium,Medium,Medium,7.2,SSP,0,50,0,"Use superphosphate. Apply gypsum."
Chickpea,Red,High,Low,High,6.8,Urea,20,0,0,"Light starter dose only."
Pigeonpea,Red,Low,High,Medium,6.8,DAP,0,50,0,"Apply at sowing. Inoculate seeds."
Pigeonpea,Red,Medium,Medium,Medium,7.0,NPK,20,40,20,"Balanced application at sowing."
Sugarcane,Red,High,Medium,High,7.2,NPK,120,60,60,"High nitrogen. Split application."
Sugarcane,Red,Medium,High,Medium,7.0,Urea,100,0,0,"Apply at planting, tillering, grand growth."
Sunflower,Red,Medium,High,Medium,6.8,DAP,0,60,0,"Apply at sowing. Use boron."
Sunflower,Red,Low,High,Medium,7.0,NPK,40,50,40,"Apply at sowing. Top dress at flowering."
Mustard,Red,Medium,High,Medium,6.5,SSP,0,50,0,"Apply at sowing. Use boron."
Mustard,Red,Low,Medium,High,6.8,Urea,40,0,0,"Apply at sowing and branching."
Cabbage,Red,High,Medium,High,6.5,NPK,80,40,60,"Apply at transplanting and head formation."
Cabbage,Red,Medium,High,Medium,6.8,Urea,60,0,0,"Split application. Use calcium nitrate."
Cauliflower,Red,High,Medium,High,6.5,Complex,70,40,60,"Apply at transplanting. Use boron."
Cauliflower,Red,Medium,High,Medium,6.8,Urea,55,0,0,"Split application. Avoid deficiency during curd formation."
Brinjal,Red,Medium,High,Medium,6.5,NPK,60,40,50,"Apply at transplanting. Top dress at flowering and fruiting."
Brinjal,Red,High,Medium,High,6.2,Complex,70,50,60,"Balanced application. Use magnesium."
Chilli,Red,Medium,High,Medium,6.5,NPK,60,40,50,"Apply at transplanting. Top dress at flowering."
Chilli,Red,High,Medium,High,6.0,Complex,70,50,60,"Apply in splits. Use calcium nitrate."
Okra,Red,Medium,High,Medium,6.5,NPK,50,40,40,"Apply at sowing. Top dress at flowering."
Okra,Red,High,Medium,High,6.0,Complex,60,50,50,"Balanced application. Use organic manure."
Apple,Red,Medium,High,Medium,6.5,NPK,100,60,100,"Apply in spring before flowering. Use boron."
Apple,Red,High,Medium,High,6.2,Complex,120,70,120,"High potash. Use calcium for storage."
Mango,Red,Medium,High,Medium,6.5,NPK,80,50,80,"Apply after fruit harvest. Use zinc."
Mango,Red,High,Medium,High,6.0,Complex,100,60,100,"Apply in two splits. Use boron."
Banana,Red,High,Medium,High,6.5,NPK,150,60,200,"High potash. Split throughout growth."
Banana,Red,Medium,High,Medium,6.8,Complex,120,50,150,"Apply at planting and flowering. Use zinc."
Grapes,Red,Medium,High,Medium,6.5,NPK,80,50,80,"Apply at pruning. Split nitrogen."
Grapes,Red,High,Medium,High,6.2,Complex,100,60,100,"Balanced application. Use magnesium."
Orange,Red,Medium,High,Medium,6.5,NPK,100,50,100,"Apply in spring and summer. Use zinc."
Orange,Red,High,Medium,High,6.0,Complex,120,60,120,"Split application. Use boron."
Coffee,Red,Medium,High,Medium,6.0,NPK,120,60,120,"Apply after harvest. Split nitrogen."
Coffee,Red,High,Medium,High,5.8,Complex,150,80,150,"High nitrogen. Use magnesium."
Tea,Red,Medium,High,Medium,4.5,NPK,200,80,150,"Apply after pruning. Split nitrogen."
Tea,Red,High,Medium,High,4.5,Complex,250,100,180,"High nitrogen. Use magnesium."
Rubber,Red,Medium,High,Medium,4.5,NPK,120,60,120,"Apply during rainy season."
Rubber,Red,High,Medium,High,4.5,Complex,150,80,150,"Split application. Use magnesium."
Coconut,Red,Medium,High,Medium,6.5,NPK,120,60,150,"Apply in two splits. High potash."
Coconut,Red,High,Medium,High,6.0,Complex,150,80,180,"Apply during monsoon. Use boron."
Arecanut,Red,Medium,High,Medium,6.0,NPK,100,50,100,"Apply in splits. Use organic manure."
Arecanut,Red,High,Medium,High,5.8,Complex,120,60,120,"High potash. Use boron."
Cashew,Red,Medium,High,Medium,6.0,NPK,80,40,80,"Apply after harvest. Use zinc."
Cashew,Red,High,Medium,High,5.8,Complex,100,50,100,"Split application. Use magnesium."
Turmeric,Red,Medium,High,Medium,6.5,NPK,80,40,80,"Apply at planting. Top dress at 60 days."
Turmeric,Red,High,Medium,High,6.0,Complex,100,50,100,"High potash. Use organic manure."
Ginger,Red,Medium,High,Medium,6.0,NPK,80,40,80,"Apply at planting. Split nitrogen."
Ginger,Red,High,Medium,High,5.8,Complex,100,50,100,"High potash. Use magnesium."
SweetPotato,Red,Low,Medium,High,6.0,Urea,50,0,0,"Apply at planting. Top dress at 30 days."
SweetPotato,Red,Medium,High,Medium,6.3,DAP,0,50,0,"Apply basal. Use potash for tuber size."
Cassava,Red,Low,Medium,High,5.5,Urea,60,0,0,"Split: 50% planting, 50% at 2 months."
Cassava,Red,Medium,High,Medium,5.8,NPK,50,50,60,"Apply basal. Use potassium for tuber quality."
Yam,Red,Low,Medium,High,6.0,NPK,70,40,70,"Apply at planting. Top dress at vine development."
Yam,Red,Medium,High,Medium,6.3,DAP,0,55,0,"Band placement. Use potash at bulking."
Watermelon,Red,Low,Medium,High,6.5,Urea,40,0,0,"Apply at sowing and vine development."
Watermelon,Red,Medium,High,Medium,6.8,NPK,30,40,40,"Use phosphorus for flowering. Potash for sweetness."
Muskmelon,Red,Low,Medium,High,6.5,Urea,35,0,0,"Split application. Use organic manure."
Muskmelon,Red,Medium,High,Medium,6.8,DAP,0,40,0,"Apply basal. Use boron for fruit set."
Cucumber,Red,Low,Medium,High,6.5,Urea,40,0,0,"Apply at planting and flowering."
Cucumber,Red,Medium,High,Medium,6.8,NPK,30,40,40,"Use potash for fruit quality."
Pumpkin,Red,Low,Medium,High,6.5,Urea,35,0,0,"Apply at sowing and vine development."
Pumpkin,Red,Medium,High,Medium,6.8,SSP,0,45,0,"Use superphosphate. Apply potash at fruit set."
BitterGourd,Red,Low,Medium,High,6.5,Urea,45,0,0,"Split application. Use organic manure."
BitterGourd,Red,Medium,High,Medium,6.8,NPK,40,40,40,"Apply basal. Top dress at flowering."
Spinach,Red,High,Medium,High,6.5,Urea,50,0,0,"Apply at sowing and after each cut."
Spinach,Red,Medium,High,Medium,6.8,NPK,40,40,40,"Use high nitrogen for leafy growth."
Amaranthus,Red,High,Medium,High,6.5,Urea,55,0,0,"Apply after each harvest. Use organic manure."
Amaranthus,Red,Medium,High,Medium,6.8,Complex,35,35,35,"Frequent light applications."
Coriander,Red,Medium,High,Medium,6.5,Urea,30,0,0,"Apply at sowing and after first cutting."
Coriander,Red,Low,Medium,High,6.8,DAP,0,35,0,"Use phosphorus for seed production."
Fenugreek,Red,Medium,High,Medium,6.5,Urea,25,0,0,"Light application. Legume fixes nitrogen."
Fenugreek,Red,Low,Medium,High,6.8,SSP,0,30,0,"Apply superphosphate. Use organic manure."
Mint,Red,High,Medium,High,6.5,Urea,60,0,0,"Apply after each harvest. Use slow-release."
Mint,Red,Medium,High,Medium,6.8,NPK,50,40,40,"Balanced application. Avoid waterlogging."
Lemon,Red,Medium,High,Medium,6.5,NPK,90,50,90,"Apply in spring and summer. Use zinc."
Lemon,Red,High,Medium,High,6.0,Complex,110,60,110,"Split application. Use boron for fruit quality."
Guava,Red,Medium,High,Medium,6.5,NPK,100,50,100,"Apply after harvest and before flowering."
Guava,Red,High,Medium,High,6.0,Complex,120,60,120,"High potash for fruit quality. Use zinc."
Papaya,Red,Medium,High,Medium,6.5,NPK,120,60,120,"Apply every 2 months. Use boron for fruit set."
Papaya,Red,High,Medium,High,6.0,Complex,140,70,140,"Split application. Use magnesium."
Pomegranate,Red,Medium,High,Medium,6.5,NPK,110,60,110,"Apply after harvest and at flowering."
Pomegranate,Red,High,Medium,High,6.0,Complex,130,70,130,"Use boron and zinc for fruit quality."
Jackfruit,Loamy,Medium,High,Medium,6.5,NPK,90,50,90,"Apply twice yearly. Use potassium for fruit quality."
Jackfruit,Clayey,High,Medium,Low,6.0,Complex,110,60,110,"Apply during rainy season. Use organic manure."
Litchi,Loamy,Medium,High,Medium,6.0,NPK,100,50,80,"Apply after harvest and before flowering. Use boron."
Litchi,Sandy,High,Medium,High,5.8,Complex,120,60,100,"Split application. Use zinc for fruit set."



Wheat,Red,Low,Medium,High,7.0,Urea,45,0,0,"Apply half at sowing, half at crown root initiation."
Wheat,Red,Medium,High,Medium,7.3,DAP,0,55,0,"Apply DAP as basal before sowing. Band placement."
Wheat,Red,High,Medium,Low,6.8,MOP,0,0,35,"Apply potash at sowing time. Use gypsum in sodic soils."
Wheat,Red,Low,High,Medium,7.1,NPK,35,35,35,"Balanced application at sowing time."
Wheat,Red,Medium,Low,High,6.9,Complex,30,30,30,"Apply as basal. Top dress at first irrigation."
Wheat,Alluvial,Low,Medium,High,7.2,Urea,50,0,0,"Split: 50% sowing, 50% at crown root initiation."
Wheat,Alluvial,Medium,High,Medium,7.4,DAP,0,60,0,"Band placement near seed row. Use zinc."
Wheat,Alluvial,High,Medium,Low,7.0,MOP,0,0,40,"Apply potash at sowing. Avoid waterlogging."
Wheat,Alluvial,Low,High,Medium,7.3,NPK,40,40,40,"Apply basal. Top dress with urea at tillering."
Wheat,Alluvial,Medium,Low,High,7.1,Complex,35,35,35,"Balanced application. Use organic manure."
Rice,Red,Low,Medium,High,6.5,Urea,50,0,0,"Apply at tillering stage. Split: 50% planting, 50% panicle initiation."
Rice,Red,Medium,Low,Medium,7.0,DAP,0,60,0,"Apply DAP at planting. Band near roots."
Rice,Red,High,Medium,Low,7.5,MOP,0,0,40,"Apply potash at panicle initiation. Avoid near harvest."
Rice,Red,Low,High,Medium,6.8,NPK,40,40,40,"Balanced application. Apply basal at planting."
Rice,Alluvial,Low,Medium,High,6.5,Urea,55,0,0,"Split application. Use neem-coated urea."
Rice,Alluvial,Medium,Low,Medium,7.0,DAP,0,65,0,"Apply at planting. Use zinc sulphate."
Rice,Alluvial,High,Medium,Low,7.5,MOP,0,0,45,"Apply potash at tillering stage."
Rice,Alluvial,Low,High,Medium,6.8,Complex,35,35,35,"Apply as basal. Top dress at booting."
Maize,Red,Low,Medium,High,6.5,Urea,60,0,0,"Split: 50% sowing, 50% at knee-high stage."
Maize,Red,Medium,High,Medium,6.8,DAP,0,70,0,"Apply DAP in furrows at sowing. Band 5cm below seeds."
Maize,Red,High,Low,Medium,6.0,MOP,0,0,50,"Apply potash at tasseling stage. Use foliar spray."
Maize,Alluvial,Low,Medium,High,6.5,NPK,50,50,50,"Apply basal. Side-dress at knee-high."
Maize,Alluvial,Medium,High,Medium,6.8,Complex,40,40,40,"Balanced application at planting. Top dress at V6."
Cotton,Red,Low,High,Medium,7.5,Urea,45,0,0,"Apply in split doses at flowering and boll formation."
Cotton,Red,Medium,Medium,Medium,7.8,Complex,50,50,50,"Use complex fertilizer at sowing. Top dress at first flower."
Cotton,Red,High,Low,High,7.2,MOP,0,0,45,"Apply potash at boll development. Use magnesium sulphate."
Cotton,Alluvial,Low,Medium,High,7.0,NPK,40,40,40,"Apply basal at sowing. Side-dress nitrogen at flowering."
Cotton,Alluvial,Medium,High,Medium,6.8,DAP,0,55,0,"Apply DAP in bands at sowing. Use zinc."
Cotton,Alluvial,High,Medium,Low,7.3,SSP,0,50,0,"Use single superphosphate. Apply gypsum."
Groundnut,Red,Low,Medium,High,6.2,Rhizobium,0,30,0,"Use rhizobium culture. Inoculate seeds before planting."
Groundnut,Red,Medium,High,Low,6.5,SSP,0,60,0,"Apply at sowing. Use gypsum at pegging stage."
Groundnut,Red,High,Low,Medium,6.0,MOP,0,0,35,"Apply potash at pegging stage."
Groundnut,Alluvial,Low,High,Medium,6.5,NPK,20,50,30,"Apply basal. Top dress gypsum at 30-40 DAS."
Groundnut,Alluvial,Medium,Medium,Medium,6.8,Complex,25,40,25,"Balanced application. Avoid excessive nitrogen."
Soybean,Red,Low,High,Medium,6.5,Urea,30,0,0,"Light application. Starter dose only."
Soybean,Red,Medium,Medium,Medium,6.8,DAP,0,50,0,"Apply DAP for phosphorus. Inoculate with Bradyrhizobium."
Soybean,Red,High,Low,High,6.2,MOP,0,0,40,"Apply potash at flowering. Use molybdenum."
Soybean,Alluvial,Low,Medium,High,6.5,NPK,20,40,30,"Apply basal. Top dress nitrogen at flowering if needed."
Soybean,Alluvial,Medium,High,Medium,6.8,SSP,0,55,0,"Use single superphosphate. Apply zinc."
Potato,Red,High,Medium,High,6.0,NPK,80,40,80,"High potash requirement. Split nitrogen."
Potato,Red,Medium,High,Low,6.2,MOP,0,0,100,"Potash at planting and earthing up. Use magnesium sulphate."
Potato,Red,Low,Medium,High,5.8,Urea,70,0,0,"Apply in splits. Use slow-release nitrogen."
Potato,Alluvial,High,Medium,High,6.0,Complex,60,40,60,"Apply as basal. Use controlled-release fertilizers."
Potato,Alluvial,Medium,High,Low,6.2,SSP,0,70,0,"Apply superphosphate at planting. Use zinc and boron."
Tomato,Red,Medium,High,Medium,6.5,Complex,50,50,50,"Apply at transplanting and first flowering. Use calcium nitrate."
Tomato,Red,High,Medium,High,6.2,NPK,70,40,60,"Apply basal. Top dress at fruit set. Use boron."
Tomato,Red,Low,High,Medium,6.8,Urea,40,0,0,"Apply in splits. Avoid late nitrogen."
Tomato,Alluvial,Medium,High,Medium,6.5,DAP,0,60,0,"Apply DAP at transplanting. Use water-soluble fertilizers."
Tomato,Alluvial,High,Low,High,6.0,MOP,0,0,50,"Apply potash at fruit development. Use magnesium sulphate."
Onion,Red,High,Medium,High,6.8,Urea,60,0,0,"Apply in splits at 15 and 45 days after transplanting."
Onion,Red,Medium,High,Medium,7.0,DAP,0,55,0,"Apply DAP at transplanting. Use zinc sulphate."
Onion,Red,Low,Medium,High,6.5,NPK,40,30,40,"Apply basal. Top dress at bulb initiation."
Onion,Alluvial,High,Medium,High,6.5,Complex,50,40,50,"Apply at transplanting. Use controlled-release fertilizers."
Onion,Alluvial,Medium,High,Medium,6.8,SSP,0,60,0,"Apply superphosphate at planting. Use gypsum."
Chickpea,Red,Low,High,Medium,7.0,Rhizobium,0,40,0,"Inoculate with rhizobium. Apply phosphorus at sowing."
Chickpea,Red,Medium,Medium,Medium,7.2,SSP,0,50,0,"Apply single superphosphate. Use gypsum in sodic soils."
Chickpea,Alluvial,Low,Medium,High,7.5,Urea,20,0,0,"Light starter dose. Legume fixes nitrogen."
Chickpea,Alluvial,Medium,High,Medium,7.0,DAP,0,45,0,"Apply DAP at sowing. Use zinc."
Pigeonpea,Red,Low,High,Medium,6.8,DAP,0,50,0,"Apply DAP at sowing. Use rhizobium inoculation."
Pigeonpea,Red,Medium,Medium,Medium,7.0,NPK,20,40,20,"Balanced application at sowing. Top dress at flowering."
Pigeonpea,Alluvial,Low,High,Medium,6.5,SSP,0,45,0,"Use superphosphate. Add zinc if deficiency."
Sugarcane,Red,High,Medium,High,7.2,NPK,120,60,60,"High nitrogen. Apply in multiple splits."
Sugarcane,Red,Medium,High,Medium,7.0,Urea,100,0,0,"Apply at planting, tillering, and grand growth stages."
Sugarcane,Alluvial,High,Medium,High,7.5,Complex,90,50,50,"Apply as basal. Top dress with nitrogen."
Sunflower,Red,Medium,High,Medium,6.8,DAP,0,60,0,"Apply DAP at sowing. Use boron for seed filling."
Sunflower,Red,Low,High,Medium,7.0,NPK,40,50,40,"Apply at sowing. Top dress at flowering. Use zinc."
Sunflower,Alluvial,Medium,High,Medium,6.5,SSP,0,55,0,"Use superphosphate. Avoid excessive nitrogen."
Mustard,Red,Medium,High,Medium,6.5,SSP,0,50,0,"Apply superphosphate at sowing. Use boron for pod formation."
Mustard,Red,Low,Medium,High,6.8,Urea,40,0,0,"Apply at sowing and branching stage. Use sulfur-coated urea."
Mustard,Alluvial,Medium,High,Medium,6.3,NPK,35,35,35,"Balanced application. Use zinc."
Cabbage,Red,High,Medium,High,6.5,NPK,80,40,60,"Apply at transplanting and head formation. Use boron."
Cabbage,Red,Medium,High,Medium,6.8,Urea,60,0,0,"Split application. Use calcium nitrate for head firmness."
Cabbage,Alluvial,High,Medium,High,6.5,Complex,70,40,60,"Apply at transplanting. Use organic manure."
Cauliflower,Red,High,Medium,High,6.5,Complex,70,40,60,"Apply at transplanting. Use boron and molybdenum."
Cauliflower,Red,Medium,High,Medium,6.8,Urea,55,0,0,"Split application. Avoid deficiency during curd formation."
Cauliflower,Alluvial,High,Medium,High,6.5,NPK,65,40,55,"Apply basal. Top dress at curd initiation."
Brinjal,Red,Medium,High,Medium,6.5,NPK,60,40,50,"Apply at transplanting. Top dress at flowering and fruiting."
Brinjal,Red,High,Medium,High,6.2,Complex,70,50,60,"Balanced application. Use magnesium sulphate."
Brinjal,Alluvial,Medium,High,Medium,6.5,Urea,55,0,0,"Split application. Use calcium for fruit quality."
Chilli,Red,Medium,High,Medium,6.5,NPK,60,40,50,"Apply at transplanting. Top dress at flowering. Use boron."
Chilli,Red,High,Medium,High,6.0,Complex,70,50,60,"Apply in splits. Use calcium nitrate for blossom end rot."
Chilli,Alluvial,Medium,High,Medium,6.5,Urea,50,0,0,"Apply in splits. Use organic manure."
Okra,Red,Medium,High,Medium,6.5,NPK,50,40,40,"Apply at sowing. Top dress at flowering. Use boron."
Okra,Red,High,Medium,High,6.0,Complex,60,50,50,"Balanced application. Use organic manure."
Okra,Alluvial,Medium,High,Medium,6.5,Urea,45,0,0,"Split application. Use zinc."
Apple,Red,Medium,High,Medium,6.5,NPK,100,60,100,"Apply in spring before flowering. Split application."
Apple,Red,High,Medium,High,6.2,Complex,120,70,120,"High potash. Use calcium for storage life."
Apple,Alluvial,Medium,High,Medium,6.5,Urea,90,0,0,"Apply at flowering and fruit development."
Mango,Red,Medium,High,Medium,6.5,NPK,80,50,80,"Apply after fruit harvest. Use zinc for flowering."
Mango,Red,High,Medium,High,6.0,Complex,100,60,100,"Apply in two splits. Use boron to prevent fruit cracking."
Mango,Alluvial,Medium,High,Medium,6.5,Urea,70,0,0,"Apply at flowering and fruit set."
Banana,Red,High,Medium,High,6.5,NPK,150,60,200,"High potash. Split throughout growth. Use magnesium."
Banana,Red,Medium,High,Medium,6.8,Complex,120,50,150,"Apply at planting and flowering. Use zinc."
Banana,Alluvial,High,Medium,High,6.5,Urea,130,0,0,"Split application. Use potash at bunch emergence."
Grapes,Red,Medium,High,Medium,6.5,NPK,80,50,80,"Apply at pruning. Split nitrogen. Use boron."
Grapes,Red,High,Medium,High,6.2,Complex,100,60,100,"Balanced application. Use magnesium and zinc."
Grapes,Alluvial,Medium,High,Medium,6.5,Urea,70,0,0,"Apply at pruning and berry development."
Orange,Red,Medium,High,Medium,6.5,NPK,100,50,100,"Apply in spring and summer. Use zinc for fruit size."
Orange,Red,High,Medium,High,6.0,Complex,120,60,120,"Split application. Use boron for fruit quality."
Orange,Alluvial,Medium,High,Medium,6.5,Urea,90,0,0,"Apply at flowering and fruit development."
Coffee,Red,Medium,High,Medium,6.0,NPK,120,60,120,"Apply after harvest. Split nitrogen. Use potassium."
